Date,Open,High,Low,Close,Volume
10/11/2024,317.6998958,318.5757401,315.2987419,315.6235046,107190
10/14/2024,315.8891894,317.8573464,311.0672109,312.0808105,2595359
10/15/2024,311.8544478,313.9210185,308.1838544,308.8431702,519912
10/16/2024,309.0006368,310.9196018,305.8515737,307.0915222,235796
10/17/2024,307.9083176,308.0165519,304.9167108,305.1332092,207276
10/18/2024,304.5723,306.9340824,302.6533349,303.2634888,229598
10/21/2024,303.3618443,307.5343572,303.3618443,305.7138062,136629
10/22/2024,307.0029657,311.9528793,305.1037015,310.3193054,329486
10/23/2024,310.9688109,311.9528894,306.0484184,307.2981873,299951
10/24/2024,308.9711223,314.1080131,307.6721315,310.9983215,305102
10/25/2024,311.9134977,319.1661511,309.0104843,311.844635,673737
10/28/2024,311.9528793,318.3493895,308.518455,310.3193054,1004377
10/29/2024,309.3352297,310.466914,305.5563719,308.6463928,3009489
10/30/2024,309.4926759,311.9036802,304.837974,305.5957336,944997
10/31/2024,305.566201,306.9832763,293.0585426,294.6134033,1940669
11/1/2024,295.2235549,301.128026,293.2553979,299.7306213,702276
11/4/2024,301.5216217,308.0165452,300.1439179,306.8454895,1550344
11/5/2024,310.9688046,311.2148243,306.0484122,308.7841492,628513
11/6/2024,309.000637,310.9687939,307.0324801,309.0400085,686136
11/7/2024,309,326,309,323.2099915,3360384
11/8/2024,324,332.3900146,323.230011,324.9200134,974831
11/11/2024,325.1499939,330,320,321.6300049,526436
11/12/2024,321,321.6300049,314,314.9899902,638317
11/13/2024,318.25,323.519989,316,319.9299927,2042978
11/14/2024,320.0100098,326.769989,320,320.4599915,851419
11/15/2024,323,323,320,320.9500122,311115
11/18/2024,322,324.5,320,322.7200012,408822
11/19/2024,323,323,320,320.4400024,2166313
11/20/2024,321.1000061,322.3999939,317,320.0400085,745569
11/21/2024,320.0499878,344.7399902,318.5,333.2399902,3335376
11/22/2024,334,344.5,328.1499939,337.7600098,3619712
11/25/2024,337.7600098,339.7999878,330,332.7099915,948333
11/26/2024,330.5100098,332.7099915,315,319.2000122,1015101
11/27/2024,325,329.7000122,320.8999939,324.2999878,1261440
11/28/2024,325.5100098,331.9899902,323.6600037,327.230011,895631
11/29/2024,329.3699951,338,324.5,335.8800049,1465597
12/2/2024,339,369,333,358.0899963,3072536
12/3/2024,362.4899902,390.9599915,360.0100098,380.0700073,3237133
12/4/2024,381.0100098,383,370.1400146,377.8099976,1090966
12/5/2024,378,379.9899902,371,373.2999878,1799473
12/6/2024,380,410,380,407.5400085,5622094
12/9/2024,408,429.4400024,406,418.4200134,3521896
12/10/2024,422,433.980011,395,410.2000122,3177358
12/11/2024,415.0100098,426.5,413.3099976,418.230011,1298734
12/12/2024,419,447.4500122,418,439.1700134,3271966
12/13/2024,444.5100098,444.5100098,425.0100098,431.3699951,1298995
12/16/2024,432,434,424.0100098,425.8800049,995329
12/17/2024,426,435,411.0100098,422.1099854,1736942
12/18/2024,423.0100098,433,405.25,409.0299988,1551187
12/19/2024,405,409.0499878,385,387.8900146,1950867
12/20/2024,386,399.8999939,385,396.0599976,858656
12/23/2024,408.9899902,435.6700134,405.019989,435.6700134,3890190
12/24/2024,440,446.7399902,425.019989,427.8900146,2593690
12/26/2024,431,434.980011,422,425.7200012,921301
12/27/2024,424.5,438,421.0499878,425.6600037,1468616
12/30/2024,430,459,426,451.8999939,2569139
12/31/2024,460.1099854,461,443,445.2799988,1374271
1/1/2025,445.2799988,445.2799988,445.2799988,445.2799988,0
1/2/2025,452,484,451.5100098,478.2999878,3602326
1/3/2025,481.9899902,496,474.0100098,485.3800049,4496408
1/6/2025,485.3800049,485.3800049,485.3800049,485.3800049,0
1/7/2025,485.3800049,485.3800049,485.3800049,485.3800049,0
1/8/2025,485.3800049,485.3800049,485.3800049,485.3800049,0
1/9/2025,485.3800049,485.3800049,485.3800049,485.3800049,0
1/10/2025,485.3800049,485.3800049,485.3800049,485.3800049,0
1/13/2025,485.3800049,485.3800049,485.3800049,485.3800049,0
